experiment,user,activity,activity_name,group,start,end,num_samples,duration_seconds,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_rms,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_rms,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_rms,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_rms,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_rms,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_rms
1,1,6,LAYING,Static,5860,6786,926,18.52,-0.039525,0.201367,-0.523611,0.447222,0.205209,0.329849,0.380278,-0.275,1.036111,0.5034,0.81593,0.188528,0.334722,1.269444,0.837428,-0.041002,0.378447,-3.524082,0.959669,0.380662,0.013431,0.136247,-0.739452,1.022894,0.136907,-0.023145,0.121222,-0.754724,0.693943,0.123412
1,1,12,LIE_TO_STAND,Transition,6787,6977,190,3.8,0.291221,0.480813,-0.647222,1.195833,0.56213,0.279474,0.222443,-0.283333,0.776389,0.357193,0.650548,0.388855,-0.2,1.031945,0.757906,0.322365,0.492083,-1.167974,1.283733,0.588273,-0.217933,0.361262,-1.206153,1.986534,0.421906,0.576459,0.43177,-0.570854,1.537548,0.720229
1,1,1,WALKING,Dynamic,7496,8078,582,11.64,1.002463,0.248028,0.455556,1.648611,1.03269,-0.233314,0.186094,-0.768056,0.134722,0.29844,-0.036672,0.152292,-0.479167,0.420833,0.156645,-0.096601,0.545797,-1.741271,0.884227,0.55428,0.000686,0.776886,-2.231491,2.222939,0.776887,0.014634,0.331039,-0.825279,0.983188,0.331362
1,1,1,WALKING,Dynamic,8356,9250,894,17.88,1.00579,0.249293,0.384722,1.688889,1.036224,-0.235822,0.195461,-0.952778,0.098611,0.306295,-0.033344,0.151054,-0.430556,0.440278,0.15469,-0.007132,0.481562,-1.5742,1.144456,0.481615,-0.004224,0.777918,-1.739439,2.155438,0.77793,-0.000193,0.34635,-1.181413,1.153314,0.34635
1,1,1,WALKING,Dynamic,9657,10567,910,18.2,1.006683,0.265406,0.419444,1.683333,1.041082,-0.241737,0.20791,-0.955556,0.173611,0.318847,-0.0319,0.154209,-0.443056,0.541667,0.157474,-0.007884,0.476423,-1.548238,1.249525,0.476488,0.009901,0.817044,-1.910176,2.29838,0.817104,-0.000617,0.355756,-0.947147,1.278846,0.355756
1,1,1,WALKING,Dynamic,10750,11714,964,19.28,1.007852,0.243598,0.401389,1.8125,1.036873,-0.234293,0.192481,-0.906944,0.254167,0.30322,-0.029414,0.148696,-0.419444,0.516667,0.151578,-0.009143,0.475677,-1.401325,1.134682,0.475765,0.001526,0.757447,-1.698511,2.038152,0.757449,0.002897,0.352985,-1.070236,1.139569,0.352997
1,1,3,WALKING_DOWNSTAIRS,Dynamic,13191,13846,655,13.1,1.010842,0.3167,0.488889,1.95,1.059292,-0.19605,0.171238,-0.944444,0.295833,0.260303,-0.031819,0.140573,-0.611111,0.327778,0.144129,-0.228916,0.529965,-2.242792,0.897361,0.577291,0.063613,0.699725,-2.409253,2.529593,0.702611,-0.00682,0.409919,-2.047009,0.860709,0.409975
1,1,2,WALKING_UPSTAIRS,Dynamic,14069,14699,630,12.6,0.977725,0.210548,0.502778,1.515278,1.000138,-0.310626,0.167249,-0.795833,0.036111,0.35279,-0.051812,0.177624,-0.422222,0.416667,0.185027,0.282744,0.490178,-0.598037,2.009747,0.565878,-0.102642,0.77601,-1.795944,2.393981,0.782769,-0.025793,0.258036,-1.048245,0.608116,0.259322
1,1,3,WALKING_DOWNSTAIRS,Dynamic,14869,15492,623,12.46,1.004621,0.380835,0.291667,1.940278,1.074384,-0.245804,0.181694,-1.209722,0.118056,0.305667,-0.039081,0.170392,-0.676389,0.413889,0.174816,-0.25706,0.544202,-3.10625,0.823446,0.60186,0.06367,0.839224,-2.279749,3.122132,0.841636,0.003855,0.487401,-1.833817,1.032668,0.487416
1,1,2,WALKING_UPSTAIRS,Dynamic,15712,16377,665,13.3,0.970094,0.206204,0.520833,1.611111,0.991767,-0.338162,0.156614,-0.881944,0.016667,0.372668,-0.060917,0.166287,-0.384722,0.325,0.177094,0.263531,0.453939,-0.604146,1.971568,0.52489,-0.10296,0.729965,-2.172542,1.759903,0.73719,-0.022478,0.24196,-1.002124,0.71624,0.243002
1,1,3,WALKING_DOWNSTAIRS,Dynamic,16530,17153,623,12.46,1.005941,0.338745,0.348611,1.945833,1.061445,-0.237034,0.176309,-1.051389,0.113889,0.295415,-0.036046,0.141236,-0.584722,0.404167,0.145763,-0.298169,0.638245,-2.776077,0.787405,0.704459,0.097082,0.725373,-2.307544,2.306933,0.73184,0.000889,0.430071,-1.78953,1.215316,0.430072
1,1,2,WALKING_UPSTAIRS,Dynamic,17298,17970,672,13.44,0.97394,0.201989,0.531944,1.619445,0.994665,-0.330607,0.175093,-0.802778,0.022222,0.374111,-0.060836,0.172202,-0.380556,0.398611,0.182632,0.284378,0.472659,-0.654237,1.998751,0.551614,-0.107729,0.70444,-1.851533,1.537853,0.71263,-0.023805,0.231074,-0.806037,0.599564,0.232297
2,1,5,STANDING,Static,251,1226,975,19.5,0.990279,0.003758,0.972222,1.005556,0.990286,-0.324594,0.00817,-0.35,-0.286111,0.324697,-0.005131,0.010246,-0.045833,0.025,0.011459,0.004395,0.022131,-0.073304,0.105069,0.022563,-0.001558,0.014892,-0.080023,0.099876,0.014974,0.00238,0.016404,-0.084605,0.096211,0.016576
2,1,7,STAND_TO_SIT,Transition,1227,1432,205,4.1,0.943923,0.087978,0.761111,1.355556,0.948014,-0.131768,0.31466,-0.569444,0.405556,0.341136,0.154776,0.17997,-0.2125,0.431944,0.237371,0.057234,0.32525,-1.09406,0.934624,0.330247,0.103248,0.262907,-0.612698,1.353983,0.282454,-0.153157,0.374182,-1.033584,0.672257,0.404313
2,1,4,SITTING,Static,1433,2221,788,15.76,0.890921,0.003073,0.880556,0.9,0.890926,0.329671,0.004249,0.309722,0.351389,0.329698,0.335736,0.006236,0.313889,0.3625,0.335794,0.00588,0.005883,-0.036957,0.04612,0.008318,-0.001751,0.008181,-0.051618,0.054672,0.008366,0.001989,0.006151,-0.035736,0.022907,0.006464
2,1,8,SIT_TO_STAND,Transition,2222,2377,155,3.1,0.961013,0.093442,0.740278,1.243056,0.965545,-0.187455,0.271903,-0.466667,0.356944,0.330259,0.08922,0.169651,-0.156944,0.406944,0.191681,-0.049214,0.188332,-0.624304,0.335976,0.194656,-0.136361,0.25659,-0.736704,0.42394,0.290573,0.212948,0.436494,-0.473421,1.324356,0.485669
2,1,5,STANDING,Static,2378,3304,926,18.52,0.988511,0.012537,0.804167,1.086111,0.98859,-0.327221,0.02399,-0.654167,-0.25,0.3281,-0.047198,0.029153,-0.283333,0.068056,0.055476,0.065854,0.329214,-0.462425,2.083661,0.335736,-0.026445,0.136598,-1.190271,0.093768,0.139134,0.005483,0.029155,-0.132558,0.305433,0.029666
2,1,11,STAND_TO_LIE,Transition,3305,3572,267,5.34,0.628199,0.296896,0.155556,1.15,0.694825,0.39304,0.490583,-0.568056,0.951389,0.628611,0.221421,0.314757,-0.434722,0.640278,0.384837,-0.170587,0.473698,-0.97769,1.351539,0.503478,-0.002802,0.413827,-1.003346,1.17164,0.413836,-0.338791,0.356539,-1.144761,0.329867,0.491832
2,1,6,LAYING,Static,3573,4435,862,17.24,0.300717,0.008503,0.251389,0.316667,0.300837,0.812505,0.004837,0.794444,0.840278,0.812519,0.479613,0.00585,0.455556,0.506944,0.479649,0.005526,0.00681,-0.040928,0.042455,0.00877,-0.001781,0.013044,-0.151189,0.058032,0.013165,0.003477,0.010378,-0.034819,0.075442,0.010945
2,1,10,LIE_TO_SIT,Transition,4436,4619,183,3.66,0.688752,0.289949,0.163889,1.113889,0.747295,0.433182,0.338491,-0.219444,0.961111,0.549748,0.368018,0.150079,0.111111,0.656944,0.397443,0.25037,0.489685,-0.857349,1.577559,0.549978,0.010124,0.432494,-1.492649,0.78374,0.432613,0.418511,0.51044,-0.650877,1.446529,0.660076
2,1,4,SITTING,Static,4620,5452,832,16.64,0.986034,0.0048,0.961111,1.020833,0.986046,0.127032,0.011826,0.081944,0.154167,0.127581,0.228861,0.007721,0.197222,0.252778,0.228991,0.006117,0.014838,-0.117286,0.121868,0.01605,-0.000962,0.021184,-0.237016,0.128587,0.021206,0.001233,0.013569,-0.090103,0.094073,0.013625
2,1,9,SIT_TO_LIE,Transition,5453,5689,236,4.72,0.594568,0.294474,0.179167,1.109722,0.663495,0.61476,0.289795,0.059722,1.120833,0.67964,0.264789,0.171241,-0.058333,0.548611,0.315336,-0.120414,0.581411,-1.136209,2.310292,0.59375,-0.133515,0.314983,-0.962113,0.714407,0.342112,-0.295954,0.37297,-1.117272,0.6353,0.476125
2,1,6,LAYING,Static,5690,6467,777,15.54,0.152456,0.058021,0.054167,0.486111,0.163123,0.948477,0.039918,0.579167,1.538889,0.949317,-0.252948,0.105494,-0.5875,0.268056,0.274065,0.027564,0.29235,-0.857044,2.637411,0.293647,0.001793,0.096735,-0.78038,1.17225,0.096752,-0.010777,0.108711,-0.935235,0.52565,0.109244
2,1,12,LIE_TO_STAND,Transition,6468,6709,241,4.82,0.794825,0.308821,0.105556,1.2,0.852711,0.358028,0.395491,-0.334722,1.038889,0.533476,0.015791,0.156097,-0.336111,0.322222,0.156893,0.131617,0.656738,-1.313666,1.470353,0.669797,0.131203,0.401492,-0.747699,0.820087,0.422386,0.344903,0.337072,-0.566577,1.057102,0.482261
2,1,1,WALKING,Dynamic,7624,8252,628,12.56,0.990541,0.2133,0.463889,1.6375,1.013246,-0.291488,0.189326,-0.904167,0.208333,0.347577,-0.109362,0.128163,-0.477778,0.244444,0.168481,-0.009003,0.42691,-1.39094,1.018007,0.427005,-0.006862,0.692309,-1.665524,1.884214,0.692343,-0.002142,0.311061,-1.155146,0.864985,0.311068
2,1,1,WALKING,Dynamic,8618,9576,958,19.16,0.992145,0.242,0.256944,1.825,1.021233,-0.287,0.203949,-0.9625,0.108333,0.352085,-0.109792,0.134722,-0.463889,0.288889,0.173794,-0.004816,0.456904,-1.529607,1.133155,0.456929,0.003207,0.761827,-1.985007,2.635273,0.761834,-0.002939,0.337615,-1.181108,1.143234,0.337628
2,1,1,WALKING,Dynamic,9991,10927,936,18.72,0.986855,0.233166,0.370833,1.708333,1.014026,-0.294045,0.206517,-1.061111,0.118056,0.359321,-0.116078,0.133831,-0.458333,0.275,0.177157,-0.000887,0.511323,-1.721724,1.249219,0.511323,-0.009889,0.753331,-1.896126,2.235156,0.753396,-0.000538,0.326031,-1.138653,1.044885,0.326031
2,1,1,WALKING,Dynamic,11311,12282,971,19.42,0.98872,0.244956,0.355556,1.738889,1.018612,-0.290049,0.208767,-1.068056,0.148611,0.357368,-0.115248,0.134302,-0.459722,0.275,0.176972,-0.004584,0.488259,-1.559844,1.137431,0.488281,-0.009412,0.781644,-2.306322,2.320982,0.7817,-0.000356,0.335604,-1.114218,1.054353,0.335604
2,1,3,WALKING_DOWNSTAIRS,Dynamic,13129,13379,250,5.0,0.993461,0.336943,0.495833,1.986111,1.049045,-0.242178,0.144182,-0.884722,0.056944,0.281849,-0.110039,0.159564,-0.768056,0.213889,0.193827,0.003373,0.240713,-0.578795,1.115134,0.240737,-0.028117,0.696462,-2.056478,2.669786,0.697029,-0.008606,0.439667,-1.561066,0.658207,0.439751
2,1,3,WALKING_DOWNSTAIRS,Dynamic,13495,13927,432,8.64,0.994027,0.348532,0.275,1.943056,1.053358,-0.258144,0.186816,-0.956944,0.180556,0.318651,-0.110677,0.152906,-0.861111,0.245833,0.188758,-0.201953,0.54013,-2.147802,1.226617,0.57665,0.034695,0.759129,-2.872288,2.751032,0.759921,0.01045,0.463001,-1.778534,1.022894,0.463118
2,1,2,WALKING_UPSTAIRS,Dynamic,14128,14783,655,13.1,0.959879,0.221647,0.536111,1.620833,0.985137,-0.370076,0.181947,-0.922222,0.034722,0.412385,-0.118558,0.175071,-0.493056,0.366667,0.211438,0.221079,0.495252,-0.808175,2.042123,0.542357,-0.084043,0.829051,-2.377793,1.797776,0.8333,-0.024664,0.261869,-1.047328,1.042136,0.263028
2,1,3,WALKING_DOWNSTAIRS,Dynamic,15037,15684,647,12.94,0.993148,0.363305,0.315278,1.943056,1.057513,-0.271095,0.180872,-1.048611,0.031944,0.325895,-0.100416,0.156097,-0.6375,0.248611,0.185607,-0.230975,0.495997,-2.105347,0.867429,0.54714,0.084406,0.716427,-1.813659,2.006692,0.721382,0.008909,0.449221,-1.732414,1.094976,0.44931
2,1,2,WALKING_UPSTAIRS,Dynamic,15920,16598,678,13.56,0.952403,0.229149,0.529167,1.658333,0.979582,-0.376569,0.185798,-0.95,0.005556,0.419911,-0.091271,0.176027,-0.431944,0.330556,0.198283,0.20976,0.467531,-0.757778,2.183538,0.51243,-0.069723,0.811232,-2.639854,1.8778,0.814223,-0.036045,0.249956,-0.977079,0.900721,0.252541
2,1,3,WALKING_DOWNSTAIRS,Dynamic,16847,17471,624,12.48,0.995215,0.347338,0.238889,1.927778,1.054085,-0.270844,0.179279,-1.111111,0.0875,0.324804,-0.094411,0.166987,-0.929167,0.3125,0.191828,-0.249312,0.518294,-2.091908,0.985326,0.57514,0.063721,0.786103,-3.428176,2.927877,0.788682,0.007839,0.447685,-1.732108,0.900721,0.447754
2,1,2,WALKING_UPSTAIRS,Dynamic,17725,18425,700,14.0,0.953113,0.215294,0.515278,1.652778,0.977126,-0.372635,0.175324,-0.9,-0.020833,0.411819,-0.08655,0.175975,-0.440278,0.318056,0.196107,0.202845,0.446463,-0.757473,1.944384,0.490383,-0.080352,0.779512,-2.28036,1.706758,0.783642,-0.023734,0.256079,-1.157284,0.979522,0.257177
3,2,5,STANDING,Static,298,1398,1100,22.0,0.990218,0.009399,0.909722,1.079167,0.990263,-0.290657,0.015671,-0.347222,-0.1875,0.291079,0.126322,0.013179,-0.041667,0.181944,0.127008,-0.000643,0.071503,-0.505796,0.402866,0.071506,0.002981,0.051936,-0.313679,0.913854,0.052021,0.002089,0.026469,-0.186314,0.157298,0.026552
3,2,7,STAND_TO_SIT,Transition,1399,1555,156,3.12,0.950508,0.07927,0.665278,1.1375,0.953807,-0.316257,0.200916,-0.868056,0.169444,0.374681,0.170931,0.11798,-0.458333,0.594444,0.207694,0.13981,0.388117,-2.462092,1.074207,0.412531,-0.022277,0.552396,-4.682588,0.747699,0.552845,-0.029602,0.475933,-1.226617,2.41078,0.476853
3,2,4,SITTING,Static,1686,2627,941,18.82,1.012838,0.003636,0.995833,1.025,1.012845,-0.101579,0.008053,-0.136111,-0.058333,0.101898,0.160187,0.008124,0.127778,0.1875,0.160393,0.004792,0.00992,-0.059254,0.046731,0.011017,-0.002189,0.018421,-0.142332,0.057116,0.018551,0.004165,0.021683,-0.064752,0.219606,0.022079
3,2,8,SIT_TO_STAND,Transition,2628,2769,141,2.82,0.937776,0.096051,0.647222,1.156945,0.942682,-0.423365,0.15427,-0.880556,-0.098611,0.450596,-0.005753,0.120803,-0.330556,0.166667,0.12094,-0.049045,0.256601,-0.682642,0.585209,0.261246,-0.00388,0.443661,-1.127046,1.044885,0.443678,0.109293,0.512132,-0.798401,1.37292,0.523664
3,2,5,STANDING,Static,2770,3904,1134,22.68,0.961923,0.026409,0.741667,1.279167,0.962286,-0.405145,0.029799,-0.627778,-0.261111,0.40624,0.046757,0.031406,-0.170833,0.2,0.056325,0.0392,0.277796,-1.032057,2.280665,0.280548,-0.017541,0.125217,-0.948979,0.489914,0.126439,0.005326,0.068348,-0.738842,0.592234,0.068555
3,2,11,STAND_TO_LIE,Transition,3905,4322,417,8.34,0.540148,0.467336,-0.243056,1.416667,0.714257,0.341527,0.413653,-0.568056,1.476389,0.536423,0.391966,0.307996,-0.190278,1.147222,0.498497,-0.080692,0.571268,-1.292285,1.971873,0.576939,0.080375,0.440455,-0.961502,1.436144,0.447728,-0.213755,0.363972,-1.550681,0.77641,0.422098
3,2,6,LAYING,Static,4323,5139,816,16.32,-0.170813,0.010576,-0.2375,-0.091667,0.17114,0.728493,0.007449,0.697222,0.795833,0.728531,0.671586,0.008446,0.620833,0.693056,0.671639,0.005848,0.014163,-0.058948,0.125227,0.015323,-0.000971,0.022092,-0.20464,0.22938,0.022113,0.001881,0.020416,-0.191201,0.163101,0.020503
3,2,10,LIE_TO_SIT,Transition,5140,5417,277,5.54,0.746806,0.379739,-0.354167,1.204167,0.837807,0.269053,0.302864,-0.179167,0.866667,0.405113,0.354543,0.207793,0.009722,0.783333,0.410948,0.208966,0.382386,-0.71624,1.316109,0.435759,-0.161536,0.44691,-1.379334,1.014647,0.475208,0.322912,0.452727,-0.54367,1.716837,0.556088
3,2,4,SITTING,Static,5418,6190,772,15.44,1.023656,0.00629,0.955556,1.0625,1.023675,-0.129168,0.013527,-0.173611,-0.086111,0.129875,0.033851,0.009735,-0.002778,0.069444,0.035223,0.006908,0.010794,-0.043371,0.087659,0.012815,-0.00269,0.029656,-0.097128,0.513738,0.029777,0.002911,0.021052,-0.073609,0.249844,0.021253
3,2,9,SIT_TO_LIE,Transition,6191,6415,224,4.48,0.524684,0.43773,-0.155556,1.083333,0.683301,0.537686,0.335994,-0.1875,1.227778,0.634033,0.292634,0.271666,-0.166667,0.709722,0.399296,-0.332339,0.495875,-1.849089,0.455705,0.596943,0.098066,0.348487,-0.667676,0.95295,0.362023,-0.34343,0.364915,-1.200961,0.426995,0.501106
3,2,6,LAYING,Static,6416,7367,951,19.02,-0.053705,0.013686,-0.104167,-0.019444,0.055422,0.786828,0.005113,0.752778,0.811111,0.786845,0.619113,0.006765,0.590278,0.644444,0.61915,0.006009,0.009343,-0.081551,0.093462,0.011109,-0.0016,0.017359,-0.184481,0.104153,0.017433,0.003203,0.016653,-0.082161,0.07422,0.016958
3,2,12,LIE_TO_STAND,Transition,7368,7548,180,3.6,0.698804,0.39322,-0.216667,1.490278,0.801841,0.372207,0.339062,-0.322222,0.906944,0.503488,0.286674,0.258694,-0.166667,0.765278,0.386141,0.298486,0.639273,-1.025643,1.616349,0.705524,-0.134272,0.536159,-1.193936,1.914146,0.552717,0.480247,0.525012,-0.982577,1.748296,0.71153
3,2,1,WALKING,Dynamic,8434,9501,1067,21.34,0.98848,0.190487,0.572222,1.523611,1.006667,-0.330221,0.163612,-1.040278,0.094444,0.368531,0.020146,0.112577,-0.245833,0.372222,0.114366,-0.001087,0.370957,-1.223563,1.159728,0.370959,0.005412,0.359664,-0.950201,1.095587,0.359705,0.002622,0.263061,-1.079093,0.545503,0.263074
3,2,1,WALKING,Dynamic,9854,10926,1072,21.44,0.985967,0.19465,0.593056,1.538889,1.004998,-0.334279,0.1606,-1.045833,0.031944,0.370857,0.017005,0.11176,-0.245833,0.308333,0.113046,-0.001326,0.365303,-1.030835,1.224174,0.365306,0.003836,0.354192,-0.800233,0.928515,0.354213,0.002186,0.242445,-0.82986,0.546724,0.242455
3,2,3,WALKING_DOWNSTAIRS,Dynamic,11704,12390,686,13.72,0.976966,0.295653,0.458333,1.934722,1.020722,-0.338561,0.199996,-1.208333,0.031944,0.39322,0.005983,0.151553,-0.6625,0.644444,0.151671,-0.228647,0.504786,-2.237905,1.204626,0.554156,0.082749,0.39109,-1.091922,1.501812,0.399748,-0.015469,0.323901,-0.999681,0.691194,0.324271
3,2,2,WALKING_UPSTAIRS,Dynamic,12631,13306,675,13.5,0.913745,0.222269,0.498611,1.795833,0.94039,-0.393757,0.18492,-1.041667,0.022222,0.435017,-0.264177,0.188134,-0.980556,0.208333,0.324321,0.203202,0.46244,-1.065044,1.810299,0.505116,-0.112684,0.477559,-1.264491,1.35215,0.490674,-0.067621,0.455179,-1.36284,1.327105,0.460174
3,2,3,WALKING_DOWNSTAIRS,Dynamic,13649,14244,595,11.9,0.946027,0.338993,0.440278,1.958333,1.00493,-0.299984,0.214317,-1.1625,0.279167,0.368676,-0.271099,0.21319,-1.493056,0.094444,0.344884,-0.244522,0.651329,-2.237599,1.723251,0.695716,0.087723,0.539722,-2.12123,3.086702,0.546805,0.057027,0.357787,-1.126436,1.617571,0.362303
3,2,2,WALKING_UPSTAIRS,Dynamic,14528,15166,638,12.76,0.845074,0.229867,0.377778,1.8,0.875779,-0.315404,0.193503,-1.084722,0.083333,0.370031,-0.476223,0.211564,-1.180556,-0.033333,0.521103,0.211821,0.578301,-1.637424,1.840537,0.615873,-0.079337,0.467243,-1.683545,1.334435,0.47393,-0.131305,0.537988,-1.529912,1.023505,0.55378
3,2,3,WALKING_DOWNSTAIRS,Dynamic,15477,16002,525,10.5,0.904548,0.369759,0.295833,1.976389,0.977204,-0.263841,0.220188,-1.227778,0.372222,0.343649,-0.424598,0.244128,-1.308333,-0.072222,0.489777,-0.277613,0.703262,-2.053729,1.299921,0.756073,0.113305,0.507914,-1.430952,1.980425,0.520399,0.125718,0.397121,-0.922101,1.303892,0.416545
3,2,2,WALKING_UPSTAIRS,Dynamic,16259,16870,611,12.22,0.794015,0.216278,0.295833,1.713889,0.822943,-0.297375,0.19168,-0.993056,0.080556,0.353798,-0.584156,0.216694,-1.283333,-0.179167,0.623053,0.211399,0.597807,-1.648725,1.988366,0.634084,-0.0602,0.447974,-2.036625,1.354288,0.452001,-0.158706,0.550119,-1.935832,0.978301,0.572555
4,2,5,STANDING,Static,524,1351,827,16.54,0.96801,0.007485,0.913889,1.019445,0.968039,-0.33577,0.015444,-0.433333,-0.266667,0.336125,0.177835,0.021739,0.061111,0.245833,0.179159,0.015731,0.097579,-0.377515,0.941038,0.098839,-0.004322,0.0285,-0.164628,0.251371,0.028825,0.004355,0.020618,-0.153633,0.184176,0.021073
4,2,7,STAND_TO_SIT,Transition,1352,1511,159,3.18,0.953957,0.100071,0.705556,1.291667,0.959192,-0.28695,0.209473,-0.7875,0.045833,0.355273,0.177437,0.134201,-0.102778,0.361111,0.222472,0.000473,0.382548,-1.047328,0.969138,0.382548,0.032883,0.347781,-0.525039,1.257161,0.349332,-0.066102,0.494531,-1.226007,0.691194,0.498929
4,2,4,SITTING,Static,1512,2309,797,15.94,0.970304,0.009444,0.9125,1.013889,0.97035,0.008647,0.024336,-0.105556,0.072222,0.025827,0.326385,0.021037,0.238889,0.406944,0.327063,0.004383,0.019922,-0.176845,0.143248,0.020398,0.002594,0.030445,-0.215635,0.189674,0.030556,-0.001434,0.04042,-0.129809,0.372017,0.040446
4,2,8,SIT_TO_STAND,Transition,2310,2448,138,2.76,0.941576,0.080955,0.75,1.108333,0.94505,-0.405183,0.135856,-0.611111,-0.022222,0.427353,0.091979,0.119936,-0.080556,0.354167,0.151144,-0.028651,0.16625,-0.395841,0.342695,0.1687,-0.049675,0.367121,-1.210124,0.416916,0.370466,0.124276,0.42416,-0.486249,1.297783,0.441991
4,2,5,STANDING,Static,2449,3337,888,17.76,0.956084,0.027221,0.748611,1.316667,0.956472,-0.383097,0.033056,-0.673611,-0.166667,0.384521,0.153724,0.035052,-0.218056,0.327778,0.15767,0.061535,0.310411,-0.48014,2.260507,0.316452,-0.026809,0.138914,-1.707674,0.158214,0.141477,0.008731,0.0736,-0.163101,0.875064,0.074116
4,2,11,STAND_TO_LIE,Transition,3338,3542,204,4.08,0.573434,0.418551,-0.594444,1.358333,0.709938,0.323543,0.395727,-0.661111,1.102778,0.511156,0.474986,0.231243,-0.163889,1.0,0.528285,-0.075927,0.472632,-0.965778,1.554958,0.478691,0.136097,0.380695,-1.215316,1.457524,0.404291,-0.482718,0.375966,-1.242805,0.477697,0.611856
