experiment,user,activity,samples,seconds,minutes
3,2,10,277,5.54,0.09233333333333334
3,2,4,772,15.44,0.2573333333333333
3,2,9,224,4.48,0.07466666666666667
3,2,6,951,19.02,0.317
3,2,12,180,3.6,0.060000000000000005
3,2,1,1067,21.34,0.3556666666666667
3,2,1,1072,21.44,0.35733333333333334
3,2,3,686,13.72,0.22866666666666668
3,2,2,675,13.5,0.225
3,2,3,595,11.9,0.19833333333333333
3,2,2,638,12.76,0.21266666666666667
3,2,3,525,10.5,0.175
3,2,2,611,12.22,0.2036666666666667
4,2,5,827,16.54,0.27566666666666667
4,2,7,159,3.18,0.053000000000000005
4,2,4,797,15.94,0.26566666666666666
4,2,8,138,2.76,0.046
4,2,5,888,17.76,0.29600000000000004
4,2,11,204,4.08,0.068
4,2,6,805,16.1,0.26833333333333337
4,2,10,141,2.82,0.047
4,2,4,810,16.2,0.26999999999999996
4,2,9,153,3.06,0.051000000000000004
4,2,6,961,19.22,0.3203333333333333
4,2,12,180,3.6,0.060000000000000005
4,2,1,1037,20.74,0.3456666666666666
4,2,1,966,19.32,0.322
4,2,3,618,12.36,0.206
4,2,2,634,12.68,0.21133333333333332
4,2,3,561,11.22,0.187
4,2,2,616,12.32,0.20533333333333334
4,2,3,582,11.64,0.194
4,2,2,569,11.38,0.18966666666666668
5,3,5,1121,22.42,0.3736666666666667
5,3,7,141,2.82,0.047
5,3,4,853,17.06,0.2843333333333333
5,3,8,109,2.18,0.036333333333333336
5,3,5,1147,22.94,0.38233333333333336
5,3,11,215,4.3,0.07166666666666667
5,3,6,1015,20.3,0.3383333333333333
5,3,10,223,4.46,0.07433333333333333
5,3,4,984,19.68,0.328
5,3,9,150,3.0,0.05
5,3,6,1167,23.34,0.389
5,3,12,183,3.66,0.061000000000000006
5,3,1,1150,23.0,0.38333333333333336
5,3,1,1065,21.3,0.35500000000000004
5,3,2,676,13.52,0.22533333333333333
5,3,3,595,11.9,0.19833333333333333
5,3,2,626,12.52,0.20866666666666667
5,3,3,595,11.9,0.19833333333333333
5,3,2,666,13.32,0.222
5,3,3,515,10.3,0.1716666666666667
5,3,2,616,12.32,0.20533333333333334
6,3,5,1011,20.22,0.33699999999999997
6,3,7,189,3.78,0.063
6,3,4,831,16.62,0.277
6,3,8,182,3.64,0.06066666666666667
6,3,5,1174,23.48,0.39133333333333337
6,3,11,234,4.68,0.078
6,3,6,1102,22.04,0.36733333333333335
6,3,10,196,3.92,0.06533333333333333
6,3,4,1001,20.02,0.33366666666666667
6,3,9,169,3.38,0.05633333333333333
6,3,6,1139,22.78,0.3796666666666667
6,3,12,166,3.32,0.05533333333333333
6,3,1,966,19.32,0.322
6,3,1,935,18.7,0.31166666666666665
6,3,3,690,13.8,0.23
6,3,2,681,13.62,0.22699999999999998
6,3,3,672,13.44,0.224
6,3,2,626,12.52,0.20866666666666667
6,3,3,597,11.94,0.19899999999999998
6,3,2,633,12.66,0.211
7,4,5,1093,21.86,0.36433333333333334
7,4,7,235,4.7,0.07833333333333334
7,4,4,853,17.06,0.2843333333333333
7,4,8,129,2.58,0.043000000000000003
7,4,5,904,18.08,0.3013333333333333
7,4,11,331,6.62,0.11033333333333334
7,4,6,1067,21.34,0.3556666666666667
7,4,10,214,4.28,0.07133333333333333
7,4,4,864,17.28,0.28800000000000003
7,4,9,223,4.46,0.07433333333333333
7,4,6,988,19.76,0.32933333333333337
7,4,12,165,3.3,0.055
7,4,1,1144,22.88,0.3813333333333333
7,4,1,1040,20.8,0.3466666666666667
7,4,3,256,5.12,0.08533333333333333
7,4,3,223,4.46,0.07433333333333333
7,4,2,784,15.68,0.2613333333333333
7,4,3,716,14.32,0.23866666666666667
7,4,2,682,13.64,0.22733333333333333
7,4,3,634,12.68,0.21133333333333332
7,4,2,636,12.72,0.21200000000000002
8,4,5,1062,21.24,0.354
8,4,7,177,3.54,0.059000000000000004
8,4,4,959,19.18,0.31966666666666665
8,4,8,142,2.84,0.04733333333333333
8,4,5,864,17.28,0.28800000000000003
8,4,11,318,6.36,0.10600000000000001
8,4,6,816,16.32,0.272
8,4,10,209,4.18,0.06966666666666667
8,4,4,815,16.3,0.27166666666666667
8,4,9,234,4.68,0.078
8,4,6,845,16.9,0.2816666666666666
8,4,12,170,3.4,0.056666666666666664
8,4,1,1034,20.68,0.3446666666666667
8,4,1,971,19.42,0.3236666666666667
8,4,3,602,12.04,0.20066666666666666
8,4,2,599,11.98,0.1996666666666667
8,4,3,557,11.14,0.18566666666666667
8,4,2,626,12.52,0.20866666666666667
8,4,3,554,11.08,0.18466666666666667
8,4,2,616,12.32,0.20533333333333334
9,5,5,1085,21.7,0.36166666666666664
9,5,7,164,3.28,0.05466666666666666
9,5,4,812,16.24,0.27066666666666667
9,5,8,125,2.5,0.041666666666666664
9,5,5,988,19.76,0.32933333333333337
9,5,11,345,6.9,0.115
9,5,6,938,18.76,0.3126666666666667
9,5,10,255,5.1,0.08499999999999999
9,5,4,830,16.6,0.27666666666666667
9,5,9,219,4.38,0.073
9,5,6,969,19.38,0.323
9,5,12,172,3.44,0.05733333333333333
9,5,1,1132,22.64,0.37733333333333335
9,5,1,1021,20.42,0.3403333333333334
9,5,3,653,13.06,0.21766666666666667
9,5,2,686,13.72,0.22866666666666668
9,5,3,619,12.38,0.20633333333333334
9,5,2,634,12.68,0.21133333333333332
9,5,3,579,11.58,0.193
9,5,2,638,12.76,0.21266666666666667
10,5,5,999,19.98,0.333
10,5,7,234,4.68,0.078
10,5,4,794,15.88,0.26466666666666666
10,5,8,128,2.56,0.042666666666666665
10,5,5,971,19.42,0.3236666666666667
10,5,11,314,6.28,0.10466666666666667
10,5,6,864,17.28,0.28800000000000003
10,5,10,202,4.04,0.06733333333333333
10,5,4,762,15.24,0.254
10,5,9,258,5.16,0.08600000000000001
10,5,6,875,17.5,0.2916666666666667
10,5,12,141,2.82,0.047
10,5,1,914,18.28,0.3046666666666667
10,5,1,905,18.1,0.3016666666666667
10,5,3,580,11.6,0.19333333333333333
10,5,2,593,11.86,0.19766666666666666
10,5,3,529,10.58,0.17633333333333334
10,5,2,568,11.36,0.18933333333333333
10,5,3,543,10.86,0.181
10,5,2,570,11.4,0.19
11,6,5,906,18.12,0.302
11,6,7,184,3.68,0.06133333333333334
11,6,4,1013,20.26,0.33766666666666667
11,6,8,113,2.26,0.03766666666666666
11,6,5,1236,24.72,0.412
11,6,11,312,6.24,0.10400000000000001
11,6,6,927,18.54,0.309
11,6,10,172,3.44,0.05733333333333333
11,6,4,1057,21.14,0.35233333333333333
11,6,9,157,3.14,0.052333333333333336
11,6,6,1038,20.76,0.34600000000000003
11,6,12,185,3.7,0.06166666666666667
11,6,1,1079,21.58,0.35966666666666663
11,6,1,999,19.98,0.333
11,6,3,591,11.82,0.197
11,6,2,668,13.36,0.22266666666666665
11,6,3,581,11.62,0.19366666666666665
11,6,2,626,12.52,0.20866666666666667
11,6,3,584,11.68,0.19466666666666665
11,6,2,650,13.0,0.21666666666666667
12,6,5,1011,20.22,0.33699999999999997
12,6,7,150,3.0,0.05
12,6,4,832,16.64,0.2773333333333333
12,6,8,131,2.62,0.043666666666666666
12,6,5,928,18.56,0.3093333333333333
12,6,11,279,5.58,0.093
12,6,6,957,19.14,0.319
12,6,10,164,3.28,0.05466666666666666
12,6,4,1065,21.3,0.35500000000000004
12,6,9,157,3.14,0.052333333333333336
12,6,6,1053,21.06,0.351
12,6,12,253,5.06,0.08433333333333333
12,6,1,969,19.38,0.323
12,6,1,965,19.3,0.32166666666666666
12,6,3,590,11.8,0.19666666666666668
12,6,2,645,12.9,0.215
12,6,3,587,11.74,0.19566666666666668
12,6,2,634,12.68,0.21133333333333332
12,6,3,590,11.8,0.19666666666666668
12,6,2,603,12.06,0.201
13,7,5,1030,20.6,0.3433333333333334
13,7,7,113,2.26,0.03766666666666666
13,7,4,864,17.28,0.28800000000000003
13,7,8,92,1.84,0.03066666666666667
13,7,5,927,18.54,0.309
13,7,11,205,4.1,0.06833333333333333
13,7,6,909,18.18,0.303
13,7,10,145,2.9,0.04833333333333333
13,7,4,939,18.78,0.313
13,7,9,256,5.12,0.08533333333333333
13,7,6,908,18.16,0.3026666666666667
13,7,12,205,4.1,0.06833333333333333
13,7,1,1078,21.56,0.35933333333333334
13,7,1,992,19.84,0.33066666666666666
13,7,3,719,14.38,0.23966666666666667
13,7,2,712,14.24,0.23733333333333334
13,7,3,626,12.52,0.20866666666666667
13,7,2,605,12.1,0.20166666666666666
13,7,3,558,11.16,0.186
13,7,2,591,11.82,0.197
14,7,5,882,17.64,0.294
14,7,7,89,1.78,0.029666666666666668
14,7,4,869,17.38,0.28966666666666663
14,7,8,73,1.46,0.024333333333333332
14,7,5,1001,20.02,0.33366666666666667
14,7,11,199,3.98,0.06633333333333333
14,7,6,889,17.78,0.29633333333333334
14,7,10,122,2.44,0.04066666666666666
14,7,4,745,14.9,0.24833333333333335
14,7,9,188,3.76,0.06266666666666666
14,7,6,834,16.68,0.27799999999999997
14,7,12,169,3.38,0.05633333333333333
14,7,1,969,19.38,0.323
14,7,1,973,19.46,0.32433333333333336
14,7,3,595,11.9,0.19833333333333333
14,7,2,646,12.92,0.21533333333333332
14,7,3,553,11.06,0.18433333333333335
14,7,2,612,12.24,0.20400000000000001
14,7,3,554,11.08,0.18466666666666667
14,7,2,612,12.24,0.20400000000000001
15,8,5,923,18.46,0.3076666666666667
15,8,7,110,2.2,0.03666666666666667
15,8,4,622,12.44,0.20733333333333331
15,8,8,73,1.46,0.024333333333333332
15,8,5,803,16.06,0.26766666666666666
15,8,11,210,4.2,0.07
15,8,6,925,18.5,0.30833333333333335
15,8,10,159,3.18,0.053000000000000005
15,8,4,979,19.58,0.3263333333333333
15,8,9,165,3.3,0.055
15,8,6,901,18.02,0.30033333333333334
15,8,12,172,3.44,0.05733333333333333
15,8,1,922,18.44,0.30733333333333335
15,8,1,749,14.98,0.24966666666666668
15,8,1,140,2.8,0.04666666666666666
15,8,3,558,11.16,0.186
15,8,2,572,11.44,0.19066666666666665
15,8,3,509,10.18,0.16966666666666666
15,8,2,564,11.28,0.188
15,8,3,520,10.4,0.17333333333333334
15,8,2,553,11.06,0.18433333333333335
16,8,5,1111,22.22,0.3703333333333333
16,8,7,128,2.56,0.042666666666666665
16,8,4,766,15.32,0.25533333333333336
16,8,8,113,2.26,0.03766666666666666
16,8,5,1160,23.2,0.38666666666666666
16,8,11,195,3.9,0.065
16,8,6,914,18.28,0.3046666666666667
16,8,10,135,2.7,0.045000000000000005
16,8,4,924,18.48,0.308
16,8,9,146,2.92,0.048666666666666664
16,8,6,1114,22.28,0.37133333333333335
16,8,10,164,3.28,0.05466666666666666
16,8,8,116,2.32,0.03866666666666666
16,8,1,855,17.1,0.28500000000000003
16,8,1,831,16.62,0.277
16,8,3,480,9.6,0.16
16,8,2,580,11.6,0.19333333333333333
16,8,3,474,9.48,0.158
16,8,2,509,10.18,0.16966666666666666
16,8,3,480,9.6,0.16
16,8,2,510,10.2,0.16999999999999998
17,9,5,759,15.18,0.253
17,9,7,117,2.34,0.039
17,9,4,825,16.5,0.275
17,9,8,105,2.1,0.035
17,9,5,971,19.42,0.3236666666666667
17,9,11,187,3.74,0.06233333333333334
17,9,6,860,17.2,0.2866666666666667
17,9,10,176,3.52,0.058666666666666666
17,9,4,1124,22.48,0.37466666666666665
17,9,9,203,4.06,0.06766666666666667
17,9,6,892,17.84,0.29733333333333334
17,9,12,167,3.34,0.05566666666666666
17,9,1,920,18.4,0.30666666666666664
17,9,1,920,18.4,0.30666666666666664
17,9,3,226,4.52,0.07533333333333332
17,9,3,385,7.7,0.12833333333333333
17,9,2,322,6.44,0.10733333333333334
17,9,2,448,8.96,0.14933333333333335
17,9,3,215,4.3,0.07166666666666667
17,9,3,346,6.92,0.11533333333333333
17,9,2,596,11.92,0.19866666666666666
17,9,3,579,11.58,0.193
17,9,2,595,11.9,0.19833333333333333
18,9,5,799,15.98,0.26633333333333337
18,9,7,131,2.62,0.043666666666666666
18,9,4,862,17.24,0.28733333333333333
18,9,8,96,1.92,0.032
18,9,5,970,19.4,0.3233333333333333
18,9,11,258,5.16,0.08600000000000001
18,9,6,920,18.4,0.30666666666666664
18,9,10,127,2.54,0.042333333333333334
18,9,4,963,19.26,0.321
18,9,9,160,3.2,0.05333333333333334
18,9,6,1155,23.1,0.385
18,9,12,148,2.96,0.04933333333333333
18,9,1,901,18.02,0.30033333333333334
18,9,1,915,18.3,0.305
18,9,3,574,11.48,0.19133333333333333
18,9,2,606,12.12,0.20199999999999999
18,9,3,564,11.28,0.188
18,9,2,598,11.96,0.19933333333333333
18,9,3,574,11.48,0.19133333333333333
18,9,2,532,10.64,0.17733333333333334
19,10,5,849,16.98,0.28300000000000003
19,10,7,132,2.64,0.044000000000000004
19,10,4,867,17.34,0.289
19,10,8,88,1.76,0.029333333333333333
19,10,5,894,17.88,0.298
19,10,11,228,4.56,0.076
19,10,6,1072,21.44,0.35733333333333334
19,10,10,168,3.36,0.056
19,10,4,877,17.54,0.29233333333333333
19,10,9,180,3.6,0.060000000000000005
19,10,6,1035,20.7,0.345
19,10,12,117,2.34,0.039
19,10,1,965,19.3,0.32166666666666666
19,10,1,920,18.4,0.30666666666666664
19,10,3,493,9.86,0.16433333333333333
19,10,2,526,10.52,0.1753333333333333
19,10,3,504,10.08,0.168
19,10,2,580,11.6,0.19333333333333333
19,10,3,534,10.68,0.178
19,10,2,611,12.22,0.2036666666666667
20,10,5,826,16.52,0.2753333333333333
20,10,7,111,2.22,0.037000000000000005
20,10,4,1178,23.56,0.39266666666666666
20,10,8,77,1.54,0.025666666666666667
20,10,5,794,15.88,0.26466666666666666
20,10,11,152,3.04,0.050666666666666665
20,10,6,806,16.12,0.26866666666666666
20,10,10,113,2.26,0.03766666666666666
20,10,4,964,19.28,0.32133333333333336
20,10,9,158,3.16,0.05266666666666667
20,10,6,1264,25.28,0.42133333333333334
20,10,12,136,2.72,0.04533333333333334
21,10,1,917,18.34,0.30566666666666664
21,10,1,904,18.08,0.3013333333333333
21,10,3,499,9.98,0.16633333333333333
21,10,2,576,11.52,0.192
21,10,3,502,10.04,0.1673333333333333
21,10,2,608,12.16,0.20266666666666666
21,10,3,527,10.54,0.17566666666666667
21,10,2,627,12.54,0.209
22,11,5,818,16.36,0.27266666666666667
22,11,7,140,2.8,0.04666666666666666
22,11,4,1004,20.08,0.3346666666666666
22,11,8,131,2.62,0.043666666666666666
22,11,5,848,16.96,0.2826666666666667
22,11,11,192,3.84,0.064
22,11,6,1001,20.02,0.33366666666666667
22,11,10,178,3.56,0.059333333333333335
22,11,4,837,16.74,0.27899999999999997
22,11,9,184,3.68,0.06133333333333334
22,11,6,1107,22.14,0.369
22,11,12,138,2.76,0.046
22,11,1,1110,22.2,0.37
22,11,1,671,13.42,0.22366666666666665
22,11,1,338,6.76,0.11266666666666666
22,11,3,570,11.4,0.19
22,11,2,617,12.34,0.20566666666666666
22,11,3,555,11.1,0.185
22,11,2,656,13.12,0.21866666666666665
22,11,3,588,11.76,0.196
22,11,2,666,13.32,0.222
23,11,5,1017,20.34,0.339
23,11,7,171,3.42,0.057
23,11,4,1051,21.02,0.35033333333333333
23,11,8,131,2.62,0.043666666666666666
23,11,5,921,18.42,0.30700000000000005
23,11,11,186,3.72,0.062000000000000006
23,11,6,1116,22.32,0.372
23,11,10,221,4.42,0.07366666666666667
23,11,4,917,18.34,0.30566666666666664
23,11,9,197,3.94,0.06566666666666666
23,11,6,838,16.76,0.2793333333333334
23,11,12,195,3.9,0.065
23,11,1,1043,20.86,0.3476666666666667
23,11,1,1056,21.12,0.35200000000000004
23,11,3,588,11.76,0.196
23,11,2,678,13.56,0.226
23,11,3,583,11.66,0.19433333333333333
23,11,2,670,13.4,0.22333333333333333
23,11,3,615,12.3,0.20500000000000002
23,11,2,706,14.12,0.2353333333333333
24,12,5,786,15.72,0.262
24,12,7,174,3.48,0.058
24,12,4,864,17.28,0.28800000000000003
24,12,8,103,2.06,0.034333333333333334
24,12,5,1145,22.9,0.38166666666666665
24,12,11,204,4.08,0.068
24,12,6,977,19.54,0.32566666666666666
24,12,10,177,3.54,0.059000000000000004
24,12,4,1156,23.12,0.38533333333333336
24,12,9,172,3.44,0.05733333333333333
24,12,6,956,19.12,0.3186666666666667
24,12,12,206,4.12,0.06866666666666667
24,12,1,985,19.7,0.3283333333333333
24,12,1,956,19.12,0.3186666666666667
24,12,3,647,12.94,0.21566666666666665
24,12,2,680,13.6,0.22666666666666666
24,12,3,629,12.58,0.20966666666666667
24,12,2,694,13.88,0.23133333333333334
24,12,3,629,12.58,0.20966666666666667
24,12,2,680,13.6,0.22666666666666666
25,12,5,1564,31.28,0.5213333333333333
25,12,7,189,3.78,0.063
25,12,4,707,14.14,0.23566666666666666
25,12,8,137,2.74,0.04566666666666667
25,12,5,845,16.9,0.2816666666666666
25,12,11,166,3.32,0.05533333333333333
25,12,6,1284,25.68,0.428
25,12,10,178,3.56,0.059333333333333335
25,12,4,1153,23.06,0.3843333333333333
25,12,9,181,3.62,0.060333333333333336
25,12,6,1084,21.68,0.36133333333333334
25,12,12,187,3.74,0.06233333333333334
25,12,1,860,17.2,0.2866666666666667
25,12,1,830,16.6,0.27666666666666667
25,12,3,548,10.96,0.18266666666666667
25,12,2,630,12.6,0.21
25,12,3,569,11.38,0.18966666666666668
25,12,2,630,12.6,0.21
25,12,3,513,10.26,0.17099999999999999
25,12,2,647,12.94,0.21566666666666665
26,13,5,1119,22.38,0.373
26,13,7,137,2.74,0.04566666666666667
26,13,4,904,18.08,0.3013333333333333
26,13,8,141,2.82,0.047
26,13,5,969,19.38,0.323
26,13,11,194,3.88,0.06466666666666666
26,13,6,942,18.84,0.314
26,13,10,189,3.78,0.063
26,13,4,824,16.48,0.27466666666666667
26,13,9,225,4.5,0.075
26,13,6,1256,25.12,0.4186666666666667
26,13,12,258,5.16,0.08600000000000001
26,13,1,969,19.38,0.323
26,13,1,1094,21.88,0.36466666666666664
26,13,3,688,13.76,0.22933333333333333
26,13,2,822,16.44,0.274
26,13,3,693,13.86,0.23099999999999998
26,13,2,720,14.4,0.24000000000000002
26,13,3,645,12.9,0.215
26,13,2,753,15.06,0.251
27,13,5,957,19.14,0.319
27,13,7,249,4.98,0.083
27,13,4,740,14.8,0.24666666666666667
27,13,8,158,3.16,0.05266666666666667
27,13,5,1206,24.12,0.402
27,13,11,190,3.8,0.06333333333333332
27,13,6,992,19.84,0.33066666666666666
27,13,10,192,3.84,0.064
27,13,4,1034,20.68,0.3446666666666667
27,13,9,211,4.22,0.07033333333333333
27,13,6,1085,21.7,0.36166666666666664
27,13,12,196,3.92,0.06533333333333333
27,13,1,932,18.64,0.3106666666666667
27,13,1,1003,20.06,0.3343333333333333
27,13,3,526,10.52,0.1753333333333333
27,13,2,597,11.94,0.19899999999999998
27,13,3,552,11.04,0.184
27,13,2,637,12.74,0.21233333333333335
27,13,3,504,10.08,0.168
27,13,2,618,12.36,0.206
28,14,5,1162,23.24,0.3873333333333333
28,14,7,297,5.94,0.099
28,14,4,878,17.56,0.29266666666666663
28,14,8,135,2.7,0.045000000000000005
28,14,5,968,19.36,0.32266666666666666
28,14,11,341,6.82,0.11366666666666667
28,14,6,854,17.08,0.2846666666666666
28,14,10,225,4.5,0.075
28,14,4,956,19.12,0.3186666666666667
28,14,9,288,5.76,0.096
28,14,6,795,15.9,0.265
28,14,12,288,5.76,0.096
28,14,1,1135,22.7,0.3783333333333333
28,14,1,1016,20.32,0.33866666666666667
28,14,3,620,12.4,0.20666666666666667
28,14,2,682,13.64,0.22733333333333333
28,14,3,607,12.14,0.20233333333333334
28,14,2,646,12.92,0.21533333333333332
28,14,3,576,11.52,0.192
28,14,2,647,12.94,0.21566666666666665
29,14,5,1037,20.74,0.3456666666666666
29,14,7,176,3.52,0.058666666666666666
29,14,4,1021,20.42,0.3403333333333334
29,14,8,139,2.78,0.04633333333333333
29,14,5,1092,21.84,0.364
29,14,11,263,5.26,0.08766666666666666
29,14,6,796,15.92,0.2653333333333333
29,14,10,146,2.92,0.048666666666666664
29,14,4,1014,20.28,0.338
29,14,9,171,3.42,0.057
29,14,6,1013,20.26,0.33766666666666667
29,14,12,196,3.92,0.06533333333333333
29,14,1,1032,20.64,0.34400000000000003
29,14,1,1002,20.04,0.33399999999999996
29,14,3,553,11.06,0.18433333333333335
29,14,2,661,13.22,0.22033333333333335
29,14,3,563,11.26,0.18766666666666668
29,14,2,711,14.22,0.23700000000000002
29,14,3,568,11.36,0.18933333333333333
29,14,2,632,12.64,0.21066666666666667
30,15,5,922,18.44,0.30733333333333335
30,15,7,143,2.86,0.04766666666666666
30,15,4,866,17.32,0.2886666666666667
30,15,8,109,2.18,0.036333333333333336
30,15,5,1086,21.72,0.362
30,15,11,193,3.86,0.06433333333333333
30,15,6,925,18.5,0.30833333333333335
30,15,10,165,3.3,0.055
30,15,4,1107,22.14,0.369
30,15,9,201,4.02,0.06699999999999999
30,15,6,1549,30.98,0.5163333333333333
30,15,12,200,4.0,0.06666666666666667
30,15,1,992,19.84,0.33066666666666666
30,15,1,959,19.18,0.31966666666666665
30,15,3,567,11.34,0.189
30,15,2,608,12.16,0.20266666666666666
30,15,3,560,11.2,0.18666666666666665
30,15,2,608,12.16,0.20266666666666666
30,15,3,530,10.6,0.17666666666666667
30,15,2,612,12.24,0.20400000000000001
31,15,5,1044,20.88,0.348
31,15,7,137,2.74,0.04566666666666667
31,15,4,1080,21.6,0.36000000000000004
31,15,8,152,3.04,0.050666666666666665
31,15,5,887,17.74,0.29566666666666663
31,15,11,262,5.24,0.08733333333333333
31,15,6,1176,23.52,0.392
31,15,10,168,3.36,0.056
31,15,4,1223,24.46,0.4076666666666667
31,15,9,204,4.08,0.068
31,15,6,1457,29.14,0.4856666666666667
31,15,12,158,3.16,0.05266666666666667
31,15,1,949,18.98,0.31633333333333336
31,15,1,940,18.8,0.31333333333333335
31,15,3,546,10.92,0.182
31,15,2,594,11.88,0.198
31,15,3,551,11.02,0.18366666666666667
31,15,2,599,11.98,0.1996666666666667
31,15,3,536,10.72,0.17866666666666667
31,15,2,614,12.28,0.20466666666666666
32,16,5,1343,26.86,0.44766666666666666
32,16,7,179,3.58,0.059666666666666666
32,16,4,1032,20.64,0.34400000000000003
32,16,8,108,2.16,0.036000000000000004
32,16,5,1154,23.08,0.38466666666666666
32,16,11,234,4.68,0.078
32,16,6,1186,23.72,0.3953333333333333
32,16,10,183,3.66,0.061000000000000006
32,16,4,1042,20.84,0.3473333333333333
32,16,9,194,3.88,0.06466666666666666
32,16,6,1215,24.3,0.405
32,16,12,145,2.9,0.04833333333333333
32,16,1,888,17.76,0.29600000000000004
32,16,1,962,19.24,0.32066666666666666
32,16,3,595,11.9,0.19833333333333333
32,16,2,659,13.18,0.21966666666666665
32,16,3,595,11.9,0.19833333333333333
32,16,2,669,13.38,0.223
32,16,3,585,11.7,0.19499999999999998
32,16,2,645,12.9,0.215
33,16,5,1668,33.36,0.5559999999999999
33,16,7,174,3.48,0.058
33,16,4,1510,30.2,0.5033333333333333
33,16,8,108,2.16,0.036000000000000004
33,16,5,1261,25.22,0.42033333333333334
33,16,11,191,3.82,0.06366666666666666
33,16,6,1331,26.62,0.4436666666666667
33,16,10,182,3.64,0.06066666666666667
33,16,4,1075,21.5,0.35833333333333334
33,16,9,180,3.6,0.060000000000000005
33,16,6,1150,23.0,0.38333333333333336
33,16,12,155,3.1,0.051666666666666666
33,16,1,888,17.76,0.29600000000000004
33,16,1,906,18.12,0.302
33,16,3,561,11.22,0.187
33,16,2,613,12.26,0.20433333333333334
33,16,3,581,11.62,0.19366666666666665
33,16,2,614,12.28,0.20466666666666666
33,16,3,580,11.6,0.19333333333333333
33,16,2,633,12.66,0.211
34,17,5,2031,40.62,0.6769999999999999
34,17,7,141,2.82,0.047
34,17,4,1115,22.3,0.3716666666666667
34,17,8,152,3.04,0.050666666666666665
34,17,5,1096,21.92,0.36533333333333334
34,17,11,237,4.74,0.079
34,17,6,1050,21.0,0.35
34,17,10,210,4.2,0.07
34,17,4,1213,24.26,0.4043333333333334
34,17,9,311,6.22,0.10366666666666666
34,17,6,1488,29.76,0.49600000000000005
34,17,12,199,3.98,0.06633333333333333
34,17,1,1169,23.38,0.38966666666666666
34,17,1,1081,21.62,0.36033333333333334
34,17,3,677,13.54,0.22566666666666665
34,17,2,602,12.04,0.20066666666666666
34,17,3,604,12.08,0.20133333333333334
34,17,2,615,12.3,0.20500000000000002
34,17,3,530,10.6,0.17666666666666667
34,17,2,598,11.96,0.19933333333333333
35,17,5,1266,25.32,0.422
35,17,7,153,3.06,0.051000000000000004
35,17,4,1134,22.68,0.378
35,17,8,157,3.14,0.052333333333333336
35,17,5,1281,25.62,0.427
35,17,11,335,6.7,0.11166666666666666
35,17,6,1065,21.3,0.35500000000000004
35,17,10,270,5.4,0.09000000000000001
35,17,4,1062,21.24,0.354
35,17,9,201,4.02,0.06699999999999999
35,17,6,1527,30.54,0.509
35,17,12,237,4.74,0.079
35,17,1,1051,21.02,0.35033333333333333
35,17,1,1014,20.28,0.338
35,17,3,594,11.88,0.198
35,17,2,637,12.74,0.21233333333333335
35,17,3,536,10.72,0.17866666666666667
35,17,2,626,12.52,0.20866666666666667
35,17,3,589,11.78,0.19633333333333333
35,17,2,637,12.74,0.21233333333333335
36,18,5,1494,29.88,0.498
36,18,7,306,6.12,0.10200000000000001
36,18,4,1043,20.86,0.3476666666666667
36,18,8,181,3.62,0.060333333333333336
36,18,5,1451,29.02,0.48366666666666663
36,18,11,296,5.92,0.09866666666666667
36,18,6,1167,23.34,0.389
36,18,10,244,4.88,0.08133333333333333
