experiment,user,activity,activity_name,group,start,end,num_samples,duration_seconds,avg_distance_to_class,outlier_zscore,candidate_outlier
31,15,1,WALKING,Dynamic,8869,9818,949,18.98,7.431412,-0.076046,False
31,15,1,WALKING,Dynamic,9989,10929,940,18.8,7.353803,-0.124348,False
32,16,1,WALKING,Dynamic,9293,10181,888,17.76,7.153658,-0.248916,False
32,16,1,WALKING,Dynamic,10602,11564,962,19.24,7.392786,-0.100086,False
33,16,1,WALKING,Dynamic,10158,11046,888,17.76,7.980519,0.265709,False
33,16,1,WALKING,Dynamic,11398,12304,906,18.12,8.106919,0.344378,False
34,17,1,WALKING,Dynamic,10862,12031,1169,23.38,6.908359,-0.401585,False
34,17,1,WALKING,Dynamic,12448,13529,1081,21.62,6.597749,-0.594904,False
35,17,1,WALKING,Dynamic,10091,11142,1051,21.02,5.996042,-0.969397,False
35,17,1,WALKING,Dynamic,11545,12559,1014,20.28,5.90569,-1.02563,False
36,18,1,WALKING,Dynamic,11529,12516,987,19.74,7.096712,-0.284358,False
36,18,1,WALKING,Dynamic,13026,14054,1028,20.56,7.151006,-0.250566,False
37,18,1,WALKING,Dynamic,9977,10989,1012,20.24,7.362701,-0.11881,False
37,18,1,WALKING,Dynamic,11351,12297,946,18.92,7.452651,-0.062827,False
38,19,1,WALKING,Dynamic,11469,12479,1010,20.2,11.392559,2.389306,True
38,19,1,WALKING,Dynamic,12579,13502,923,18.46,11.053819,2.17848,True
39,19,1,WALKING,Dynamic,9950,10853,903,18.06,13.311843,3.583836,True
39,19,1,WALKING,Dynamic,11080,11958,878,17.56,12.526707,3.095181,True
40,20,1,WALKING,Dynamic,10276,11251,975,19.5,7.303242,-0.155816,False
40,20,1,WALKING,Dynamic,11647,12565,918,18.36,8.776678,0.761225,False
41,20,1,WALKING,Dynamic,9946,10785,839,16.78,10.379117,1.758557,False
41,20,1,WALKING,Dynamic,10961,11828,867,17.34,10.299332,1.7089,False
42,21,1,WALKING,Dynamic,11949,12942,993,19.86,7.13984,-0.257516,False
42,21,1,WALKING,Dynamic,13272,14211,939,18.78,7.448007,-0.065718,False
43,21,1,WALKING,Dynamic,11211,12097,886,17.72,7.08907,-0.289114,False
43,21,1,WALKING,Dynamic,12456,13386,930,18.6,6.957656,-0.370904,False
44,22,1,WALKING,Dynamic,9605,10453,848,16.96,7.371065,-0.113605,False
44,22,1,WALKING,Dynamic,10744,11526,782,15.64,7.97744,0.263793,False
45,22,1,WALKING,Dynamic,9788,10628,840,16.8,7.160546,-0.244629,False
45,22,1,WALKING,Dynamic,10928,11741,813,16.26,7.59117,0.023385,False
46,23,1,WALKING,Dynamic,10472,11533,1061,21.22,8.491131,0.583505,False
46,23,1,WALKING,Dynamic,11694,12723,1029,20.58,10.323106,1.723696,False
47,23,1,WALKING,Dynamic,9607,10673,1066,21.32,10.123454,1.599436,False
47,23,1,WALKING,Dynamic,10809,11815,1006,20.12,9.106309,0.966382,False
48,24,1,WALKING,Dynamic,10923,11939,1016,20.32,6.545901,-0.627173,False
48,24,1,WALKING,Dynamic,12132,13092,960,19.2,6.574712,-0.609242,False
49,24,1,WALKING,Dynamic,10013,11026,1013,20.26,6.333052,-0.759647,False
49,24,1,WALKING,Dynamic,11275,12375,1100,22.0,7.202671,-0.21841,False
50,25,1,WALKING,Dynamic,10170,11483,1313,26.26,9.171698,1.007079,False
50,25,1,WALKING,Dynamic,11819,12995,1176,23.52,8.453272,0.559943,False
51,25,1,WALKING,Dynamic,10193,11603,1410,28.2,9.031549,0.919853,False
51,25,1,WALKING,Dynamic,11984,13181,1197,23.94,7.702842,0.092888,False
52,26,1,WALKING,Dynamic,10832,11880,1048,20.96,6.241518,-0.816616,False
52,26,1,WALKING,Dynamic,12202,13116,914,18.28,6.236534,-0.819718,False
53,26,1,WALKING,Dynamic,10536,11638,1102,22.04,6.300505,-0.779903,False
53,26,1,WALKING,Dynamic,11997,13066,1069,21.38,5.950254,-0.997894,False
54,27,1,WALKING,Dynamic,9917,10882,965,19.3,6.228728,-0.824576,False
54,27,1,WALKING,Dynamic,11111,12130,1019,20.38,6.25678,-0.807117,False
55,27,1,WALKING,Dynamic,10397,11402,1005,20.1,6.2955,-0.783019,False
55,27,1,WALKING,Dynamic,11623,12652,1029,20.58,6.351289,-0.748297,False
56,28,1,WALKING,Dynamic,11834,12500,666,13.32,7.238164,-0.196321,False
56,28,1,WALKING,Dynamic,12588,12982,394,7.88,8.72544,0.729335,False
56,28,1,WALKING,Dynamic,13153,14155,1002,20.04,6.018547,-0.95539,False
57,28,1,WALKING,Dynamic,10428,11358,930,18.6,5.972032,-0.98434,False
57,28,1,WALKING,Dynamic,11463,12375,912,18.24,6.020695,-0.954053,False
58,29,1,WALKING,Dynamic,9682,10633,951,19.02,6.715119,-0.521855,False
58,29,1,WALKING,Dynamic,10972,11874,902,18.04,6.891485,-0.412088,False
59,29,1,WALKING,Dynamic,9167,10134,967,19.34,6.699772,-0.531406,False
59,29,1,WALKING,Dynamic,10425,11360,935,18.7,6.867667,-0.426911,False
60,30,1,WALKING,Dynamic,12942,14090,1148,22.96,6.40662,-0.71386,False
60,30,1,WALKING,Dynamic,14416,15588,1172,23.44,6.50713,-0.651303,False
61,30,1,WALKING,Dynamic,9676,10779,1103,22.06,6.770558,-0.487351,False
61,30,1,WALKING,Dynamic,11106,12197,1091,21.82,7.332424,-0.137654,False
1,1,2,WALKING_UPSTAIRS,Dynamic,14069,14699,630,12.6,6.680667,-0.60738,False
1,1,2,WALKING_UPSTAIRS,Dynamic,15712,16377,665,13.3,6.464971,-0.754619,False
1,1,2,WALKING_UPSTAIRS,Dynamic,17298,17970,672,13.44,6.442425,-0.770009,False
2,1,2,WALKING_UPSTAIRS,Dynamic,14128,14783,655,13.1,6.60119,-0.661633,False
2,1,2,WALKING_UPSTAIRS,Dynamic,15920,16598,678,13.56,6.830057,-0.505404,False
2,1,2,WALKING_UPSTAIRS,Dynamic,17725,18425,700,14.0,6.674077,-0.611879,False
3,2,2,WALKING_UPSTAIRS,Dynamic,12631,13306,675,13.5,6.6666,-0.616983,False
3,2,2,WALKING_UPSTAIRS,Dynamic,14528,15166,638,12.76,8.119316,0.37467,False
3,2,2,WALKING_UPSTAIRS,Dynamic,16259,16870,611,12.22,9.656966,1.424299,False
4,2,2,WALKING_UPSTAIRS,Dynamic,11294,11928,634,12.68,6.573521,-0.680521,False
4,2,2,WALKING_UPSTAIRS,Dynamic,12986,13602,616,12.32,6.923048,-0.441927,False
4,2,2,WALKING_UPSTAIRS,Dynamic,14705,15274,569,11.38,7.15527,-0.283407,False
5,3,2,WALKING_UPSTAIRS,Dynamic,14018,14694,676,13.52,7.115395,-0.310627,False
5,3,2,WALKING_UPSTAIRS,Dynamic,15985,16611,626,12.52,6.778049,-0.540906,False
5,3,2,WALKING_UPSTAIRS,Dynamic,17811,18477,666,13.32,6.609878,-0.655703,False
5,3,2,WALKING_UPSTAIRS,Dynamic,19536,20152,616,12.32,6.804123,-0.523107,False
6,3,2,WALKING_UPSTAIRS,Dynamic,12703,13384,681,13.62,6.131971,-0.981931,False
6,3,2,WALKING_UPSTAIRS,Dynamic,14587,15213,626,12.52,6.219761,-0.922004,False
6,3,2,WALKING_UPSTAIRS,Dynamic,16146,16779,633,12.66,6.39366,-0.803297,False
7,4,2,WALKING_UPSTAIRS,Dynamic,12653,13437,784,15.68,7.19812,-0.254157,False
7,4,2,WALKING_UPSTAIRS,Dynamic,14548,15230,682,13.64,6.916778,-0.446206,False
7,4,2,WALKING_UPSTAIRS,Dynamic,16178,16814,636,12.72,6.525839,-0.713069,False
8,4,2,WALKING_UPSTAIRS,Dynamic,11392,11991,599,11.98,6.554472,-0.693524,False
8,4,2,WALKING_UPSTAIRS,Dynamic,12939,13565,626,12.52,6.778049,-0.540906,False
8,4,2,WALKING_UPSTAIRS,Dynamic,14391,15007,616,12.32,8.58449,0.692206,False
9,5,2,WALKING_UPSTAIRS,Dynamic,11867,12553,686,13.72,6.431635,-0.777375,False
9,5,2,WALKING_UPSTAIRS,Dynamic,13567,14201,634,12.68,6.630149,-0.641865,False
9,5,2,WALKING_UPSTAIRS,Dynamic,15087,15725,638,12.76,6.524888,-0.713718,False
10,5,2,WALKING_UPSTAIRS,Dynamic,10751,11344,593,11.86,6.491799,-0.736305,False
10,5,2,WALKING_UPSTAIRS,Dynamic,12187,12755,568,11.36,6.456606,-0.760329,False
10,5,2,WALKING_UPSTAIRS,Dynamic,13593,14163,570,11.4,6.857417,-0.486727,False
11,6,2,WALKING_UPSTAIRS,Dynamic,11965,12633,668,13.36,6.991972,-0.394878,False
11,6,2,WALKING_UPSTAIRS,Dynamic,13554,14180,626,12.52,6.720129,-0.580443,False
11,6,2,WALKING_UPSTAIRS,Dynamic,15113,15763,650,13.0,7.025384,-0.37207,False
12,6,2,WALKING_UPSTAIRS,Dynamic,11437,12082,645,12.9,7.80529,0.160309,False
12,6,2,WALKING_UPSTAIRS,Dynamic,12970,13604,634,12.68,7.947025,0.257061,False
12,6,2,WALKING_UPSTAIRS,Dynamic,14479,15082,603,12.06,9.422394,1.264176,False
13,7,2,WALKING_UPSTAIRS,Dynamic,12007,12719,712,14.24,8.097436,0.359734,False
13,7,2,WALKING_UPSTAIRS,Dynamic,13935,14540,605,12.1,8.144142,0.391616,False
13,7,2,WALKING_UPSTAIRS,Dynamic,15695,16286,591,11.82,8.5732,0.6845,False
14,7,2,WALKING_UPSTAIRS,Dynamic,11170,11816,646,12.92,6.150081,-0.969569,False
14,7,2,WALKING_UPSTAIRS,Dynamic,12927,13539,612,12.24,6.248175,-0.902608,False
14,7,2,WALKING_UPSTAIRS,Dynamic,14504,15116,612,12.24,6.28886,-0.874835,False
15,8,2,WALKING_UPSTAIRS,Dynamic,11085,11657,572,11.44,7.408365,-0.110639,False
15,8,2,WALKING_UPSTAIRS,Dynamic,12708,13272,564,11.28,7.917447,0.23687,False
15,8,2,WALKING_UPSTAIRS,Dynamic,14287,14840,553,11.06,8.474727,0.61728,False
16,8,2,WALKING_UPSTAIRS,Dynamic,12315,12895,580,11.6,8.692756,0.766111,False
16,8,2,WALKING_UPSTAIRS,Dynamic,13785,14294,509,10.18,10.045316,1.689395,False
16,8,2,WALKING_UPSTAIRS,Dynamic,15196,15706,510,10.2,8.934684,0.931256,False
17,9,2,WALKING_UPSTAIRS,Dynamic,11585,11907,322,6.44,11.267984,2.524012,True
17,9,2,WALKING_UPSTAIRS,Dynamic,11922,12370,448,8.96,10.297632,1.861631,False
17,9,2,WALKING_UPSTAIRS,Dynamic,13350,13946,596,11.92,7.002507,-0.387686,False
17,9,2,WALKING_UPSTAIRS,Dynamic,14846,15441,595,11.9,6.862055,-0.483561,False
18,9,2,WALKING_UPSTAIRS,Dynamic,11185,11791,606,12.12,9.060542,1.017169,False
18,9,2,WALKING_UPSTAIRS,Dynamic,12617,13215,598,11.96,9.028256,0.99513,False
18,9,2,WALKING_UPSTAIRS,Dynamic,14134,14666,532,10.64,9.065906,1.02083,False
19,10,2,WALKING_UPSTAIRS,Dynamic,11571,12097,526,10.52,8.61881,0.715634,False
19,10,2,WALKING_UPSTAIRS,Dynamic,12947,13527,580,11.6,6.726253,-0.576262,False
19,10,2,WALKING_UPSTAIRS,Dynamic,14440,15051,611,12.22,13.45129,4.014379,True
21,10,2,WALKING_UPSTAIRS,Dynamic,4896,5472,576,11.52,10.044805,1.689046,False
21,10,2,WALKING_UPSTAIRS,Dynamic,6189,6797,608,12.16,9.842899,1.551221,False
21,10,2,WALKING_UPSTAIRS,Dynamic,7633,8260,627,12.54,9.453949,1.285716,False
22,11,2,WALKING_UPSTAIRS,Dynamic,11610,12227,617,12.34,7.240384,-0.225306,False
22,11,2,WALKING_UPSTAIRS,Dynamic,13183,13839,656,13.12,7.45567,-0.078348,False
22,11,2,WALKING_UPSTAIRS,Dynamic,14707,15373,666,13.32,7.373786,-0.134244,False
23,11,2,WALKING_UPSTAIRS,Dynamic,12089,12767,678,13.56,6.9985,-0.390421,False
23,11,2,WALKING_UPSTAIRS,Dynamic,13628,14298,670,13.4,7.006772,-0.384774,False
23,11,2,WALKING_UPSTAIRS,Dynamic,15168,15874,706,14.12,7.044139,-0.359267,False
24,12,2,WALKING_UPSTAIRS,Dynamic,11749,12429,680,13.6,6.426605,-0.780808,False
24,12,2,WALKING_UPSTAIRS,Dynamic,13259,13953,694,13.88,6.899463,-0.458026,False
24,12,2,WALKING_UPSTAIRS,Dynamic,14905,15585,680,13.6,6.158624,-0.963737,False
25,12,2,WALKING_UPSTAIRS,Dynamic,11656,12286,630,12.6,6.667055,-0.616672,False
25,12,2,WALKING_UPSTAIRS,Dynamic,13146,13776,630,12.6,6.607305,-0.657459,False
25,12,2,WALKING_UPSTAIRS,Dynamic,14567,15214,647,12.94,7.251397,-0.217789,False
26,13,2,WALKING_UPSTAIRS,Dynamic,12621,13443,822,16.44,7.667383,0.066172,False
26,13,2,WALKING_UPSTAIRS,Dynamic,14552,15272,720,14.4,6.830488,-0.50511,False
26,13,2,WALKING_UPSTAIRS,Dynamic,16216,16969,753,15.06,7.327676,-0.165719,False
27,13,2,WALKING_UPSTAIRS,Dynamic,12277,12874,597,11.94,6.879985,-0.471322,False
27,13,2,WALKING_UPSTAIRS,Dynamic,13793,14430,637,12.74,6.760353,-0.552985,False
27,13,2,WALKING_UPSTAIRS,Dynamic,15274,15892,618,12.36,6.656788,-0.623681,False
28,14,2,WALKING_UPSTAIRS,Dynamic,12736,13418,682,13.64,10.325049,1.880346,False
28,14,2,WALKING_UPSTAIRS,Dynamic,14500,15146,646,12.92,11.331593,2.567433,True
28,14,2,WALKING_UPSTAIRS,Dynamic,16060,16707,647,12.94,11.15028,2.443665,True
29,14,2,WALKING_UPSTAIRS,Dynamic,12030,12691,661,13.22,12.402815,3.29867,True
29,14,2,WALKING_UPSTAIRS,Dynamic,13575,14286,711,14.22,14.089738,4.450197,True
29,14,2,WALKING_UPSTAIRS,Dynamic,15121,15753,632,12.64,12.477407,3.349588,True
30,15,2,WALKING_UPSTAIRS,Dynamic,12291,12899,608,12.16,6.737019,-0.568913,False
30,15,2,WALKING_UPSTAIRS,Dynamic,13780,14388,608,12.16,6.462322,-0.756427,False
30,15,2,WALKING_UPSTAIRS,Dynamic,15302,15914,612,12.24,6.582842,-0.674158,False
31,15,2,WALKING_UPSTAIRS,Dynamic,12288,12882,594,11.88,7.050689,-0.354796,False
31,15,2,WALKING_UPSTAIRS,Dynamic,13710,14309,599,11.98,6.915283,-0.447227,False
31,15,2,WALKING_UPSTAIRS,Dynamic,15122,15736,614,12.28,6.801393,-0.52497,False
32,16,2,WALKING_UPSTAIRS,Dynamic,13145,13804,659,13.18,7.125093,-0.304007,False
32,16,2,WALKING_UPSTAIRS,Dynamic,15004,15673,669,13.38,7.585192,0.010066,False
32,16,2,WALKING_UPSTAIRS,Dynamic,16823,17468,645,12.9,7.446637,-0.084514,False
33,16,2,WALKING_UPSTAIRS,Dynamic,13948,14561,613,12.26,9.606409,1.389789,False
33,16,2,WALKING_UPSTAIRS,Dynamic,15787,16401,614,12.28,9.498168,1.315901,False
33,16,2,WALKING_UPSTAIRS,Dynamic,17568,18201,633,12.66,9.795517,1.518877,False
34,17,2,WALKING_UPSTAIRS,Dynamic,15650,16252,602,12.04,6.865923,-0.480921,False
34,17,2,WALKING_UPSTAIRS,Dynamic,17557,18172,615,12.3,6.978479,-0.404088,False
34,17,2,WALKING_UPSTAIRS,Dynamic,19326,19924,598,11.96,7.105414,-0.31744,False
35,17,2,WALKING_UPSTAIRS,Dynamic,14099,14736,637,12.74,6.230652,-0.914569,False
35,17,2,WALKING_UPSTAIRS,Dynamic,15877,16503,626,12.52,6.178626,-0.950083,False
35,17,2,WALKING_UPSTAIRS,Dynamic,17666,18303,637,12.74,6.665285,-0.617881,False
36,18,2,WALKING_UPSTAIRS,Dynamic,16345,17063,718,14.36,7.224375,-0.236235,False
36,18,2,WALKING_UPSTAIRS,Dynamic,18546,19239,693,13.86,7.072913,-0.339626,False
36,18,2,WALKING_UPSTAIRS,Dynamic,20688,21413,725,14.5,7.165848,-0.276186,False
37,18,2,WALKING_UPSTAIRS,Dynamic,14237,14914,677,13.54,7.251905,-0.217442,False
37,18,2,WALKING_UPSTAIRS,Dynamic,16236,16939,703,14.06,6.869372,-0.478567,False
37,18,2,WALKING_UPSTAIRS,Dynamic,18280,19003,723,14.46,7.219979,-0.239236,False
38,19,2,WALKING_UPSTAIRS,Dynamic,14803,15349,546,10.92,6.526552,-0.712583,False
38,19,2,WALKING_UPSTAIRS,Dynamic,16246,16782,536,10.72,7.729008,0.108237,False
38,19,2,WALKING_UPSTAIRS,Dynamic,17720,18245,525,10.5,8.234038,0.452981,False
39,19,2,WALKING_UPSTAIRS,Dynamic,13232,13776,544,10.88,8.709585,0.777598,False
39,19,2,WALKING_UPSTAIRS,Dynamic,14522,15013,491,9.82,9.335924,1.20515,False
39,19,2,WALKING_UPSTAIRS,Dynamic,15743,16229,486,9.72,12.406248,3.301013,True
40,20,2,WALKING_UPSTAIRS,Dynamic,14015,14640,625,12.5,8.182592,0.417863,False
40,20,2,WALKING_UPSTAIRS,Dynamic,16088,16808,720,14.4,7.562662,-0.005314,False
40,20,2,WALKING_UPSTAIRS,Dynamic,17859,18476,617,12.34,8.080481,0.34816,False
41,20,2,WALKING_UPSTAIRS,Dynamic,13070,13699,629,12.58,9.378987,1.234546,False
41,20,2,WALKING_UPSTAIRS,Dynamic,14544,15201,657,13.14,8.828671,0.858889,False
41,20,2,WALKING_UPSTAIRS,Dynamic,16103,16738,635,12.7,9.907017,1.594989,False
42,21,2,WALKING_UPSTAIRS,Dynamic,15696,16339,643,12.86,7.34451,-0.154228,False
42,21,2,WALKING_UPSTAIRS,Dynamic,17530,18126,596,11.92,6.989311,-0.396694,False
42,21,2,WALKING_UPSTAIRS,Dynamic,19166,19774,608,12.16,6.934272,-0.434265,False
43,21,2,WALKING_UPSTAIRS,Dynamic,14819,15402,583,11.66,7.285483,-0.194521,False
43,21,2,WALKING_UPSTAIRS,Dynamic,16294,16865,571,11.42,7.348036,-0.151821,False
43,21,2,WALKING_UPSTAIRS,Dynamic,17739,18307,568,11.36,7.342758,-0.155424,False
44,22,2,WALKING_UPSTAIRS,Dynamic,13408,13955,547,10.94,7.388913,-0.123918,False
44,22,2,WALKING_UPSTAIRS,Dynamic,14894,15435,541,10.82,7.1598,-0.280315,False
44,22,2,WALKING_UPSTAIRS,Dynamic,16439,16970,531,10.62,8.319024,0.510994,False
45,22,2,WALKING_UPSTAIRS,Dynamic,13361,13909,548,10.96,7.114915,-0.310955,False
45,22,2,WALKING_UPSTAIRS,Dynamic,14732,15293,561,11.22,6.669918,-0.614718,False
45,22,2,WALKING_UPSTAIRS,Dynamic,16307,16864,557,11.14,6.422149,-0.78385,False
46,23,2,WALKING_UPSTAIRS,Dynamic,14711,15356,645,12.9,6.964243,-0.413806,False
46,23,2,WALKING_UPSTAIRS,Dynamic,16399,16985,586,11.72,7.422561,-0.100949,False
46,23,2,WALKING_UPSTAIRS,Dynamic,18110,18687,577,11.54,7.298847,-0.185398,False
47,23,2,WALKING_UPSTAIRS,Dynamic,13522,14142,620,12.4,8.538509,0.660819,False
47,23,2,WALKING_UPSTAIRS,Dynamic,15055,15729,674,13.48,8.340823,0.525874,False
47,23,2,WALKING_UPSTAIRS,Dynamic,16692,17355,663,13.26,6.79502,-0.529321,False
48,24,2,WALKING_UPSTAIRS,Dynamic,15408,16104,696,13.92,6.608367,-0.656734,False
48,24,2,WALKING_UPSTAIRS,Dynamic,17176,17928,752,15.04,7.139852,-0.293932,False
48,24,2,WALKING_UPSTAIRS,Dynamic,18989,19741,752,15.04,6.680703,-0.607356,False
49,24,2,WALKING_UPSTAIRS,Dynamic,14130,14850,720,14.4,6.204888,-0.932157,False
49,24,2,WALKING_UPSTAIRS,Dynamic,15814,16538,724,14.48,6.261629,-0.893424,False
49,24,2,WALKING_UPSTAIRS,Dynamic,17519,18243,724,14.48,6.07167,-1.023093,False
50,25,2,WALKING_UPSTAIRS,Dynamic,14818,15601,783,15.66,8.236126,0.454406,False
50,25,2,WALKING_UPSTAIRS,Dynamic,16654,17546,892,17.84,9.226974,1.130779,False
50,25,2,WALKING_UPSTAIRS,Dynamic,18807,19654,847,16.94,8.675885,0.754594,False
51,25,2,WALKING_UPSTAIRS,Dynamic,14952,15698,746,14.92,6.900869,-0.457066,False
51,25,2,WALKING_UPSTAIRS,Dynamic,16724,17449,725,14.5,6.824549,-0.509164,False
51,25,2,WALKING_UPSTAIRS,Dynamic,18528,19256,728,14.56,6.728745,-0.574561,False
52,26,2,WALKING_UPSTAIRS,Dynamic,15079,15840,761,15.22,7.15931,-0.280649,False
52,26,2,WALKING_UPSTAIRS,Dynamic,17125,17774,649,12.98,6.261804,-0.893304,False
52,26,2,WALKING_UPSTAIRS,Dynamic,19036,19705,669,13.38,6.524593,-0.713919,False
53,26,2,WALKING_UPSTAIRS,Dynamic,14892,15548,656,13.12,6.151189,-0.968812,False
53,26,2,WALKING_UPSTAIRS,Dynamic,16664,17335,671,13.42,6.324505,-0.850504,False
53,26,2,WALKING_UPSTAIRS,Dynamic,18570,19216,646,12.92,6.165118,-0.959305,False
54,27,2,WALKING_UPSTAIRS,Dynamic,13474,14091,617,12.34,6.362536,-0.824543,False
54,27,2,WALKING_UPSTAIRS,Dynamic,15097,15764,667,13.34,6.431524,-0.777451,False
54,27,2,WALKING_UPSTAIRS,Dynamic,16746,17369,623,12.46,6.290642,-0.873619,False
55,27,2,WALKING_UPSTAIRS,Dynamic,14037,14696,659,13.18,6.944758,-0.427107,False
55,27,2,WALKING_UPSTAIRS,Dynamic,15686,16350,664,13.28,7.385066,-0.126544,False
55,27,2,WALKING_UPSTAIRS,Dynamic,17383,18009,626,12.52,7.957135,0.263961,False
56,28,2,WALKING_UPSTAIRS,Dynamic,15811,16496,685,13.7,6.493975,-0.73482,False
56,28,2,WALKING_UPSTAIRS,Dynamic,17407,18117,710,14.2,6.370937,-0.818808,False
56,28,2,WALKING_UPSTAIRS,Dynamic,18961,19643,682,13.64,6.070195,-1.024101,False
57,28,2,WALKING_UPSTAIRS,Dynamic,13607,14206,599,11.98,6.22658,-0.917349,False
